Latitude,Longitude,DepthMeters,Magnitude
45.182,-73.495,17100,3.8
40.327,-76.007,5000,4.2
40.3,-76,5000,2.5
37.05,-80.789,9300,2.9
44.233,-74.426,4200,3
42.995,-78.831,5000,3
38.0444,-81.3484,8500,2.8
40.3025,-80.9527,26000,2.2
41.4832,-77.3316,14900,2.7
43.5902,-75.3455,14100,2.9
37.7571,-81.9358,13400,2.4
37.7917,-82.1717,5100,2.2
37.9766,-81.347,9900,2.1
37.599,-82.4297,4600,2.1
38.0978,-81.4197,600,2.5
40.7184,-76.1652,7700,2.1
42.5218,-73.8559,10600,2.3
37.9091,-81.3354,14400,2.5
39.7006,-79.956,11400,2
42.5206,-73.8558,6300,2.4
38.126,-82.0104,2300,2
43.4856,-73.4366,14900,1.5
37.916,-81.2993,8400,2.5
38.0188,-80.531,3400,2.5
43.0856,-73.8709,7500,1.8
40.624,-76.4099,5100,2.4
40.7928,-76.3088,7900,2
39.2426,-78.0882,14000,3.7
38.0563,-81.6925,7200,2.6
37.5755,-82.399,8200,2.1
40.796,-76.6532,4100,2
38.4815,-80.5765,16500,2.4
41.1513,-80.0135,3300,2.4
45.08,-74.21,18000,3.1
44.453,-74.03,5000,2.8
39.742,-76.054,5400,2.2
42.762,-74.068,8000,2.4
40.777,-73.954,7000,2.4
41.877,-80.774,5000,2.6
37.7355,-81.9786,11000,2.3
38.197,-81.8019,13100,2.2
39.8392,-79.9218,14900,2.4
38.0704,-81.3388,3000,2.6
37.9063,-81.3141,13100,2.3
40.8293,-78.2637,4600,2.1
38.0148,-80.5402,14900,2.4
38.3354,-81.059,3400,2.5
37.7586,-82.0698,2100,2.5
38.0184,-81.7281,4400,1.9
37.8012,-82.1511,3400,2.4
39.9568,-79.3822,4400,2.5
37.6922,-82.0694,5400,2.4
40.187,-80.9705,13700,2.5
40.801,-78.4394,11900,2.1
38.0545,-81.6817,13300,2.2
37.8213,-82.1408,1600,2.4
40.3473,-74.9068,300,2.1
40.7316,-76.3021,8200,1.6
37.8916,-81.7118,2200,2.2
43.5906,-75.3403,14600,1.8
40.8493,-75.8065,2900,1.8
39.8485,-79.911,10100,2.3
37.8933,-81.5944,5200,2.5
42.9895,-75.1998,14600,2.4
42.5191,-73.8447,3500,2.1
40.7108,-76.3114,7400,2
38.0519,-81.4662,6300,2.2
41.942,-80.802,5000,3.9
37.31,-80.812,10000,2.5
41.905,-80.767,5000,3.4
44.504,-73.703,5000,2.6
44.504,-73.675,10000,3.1
44.499,-73.703,9000,3
44.56,-73.79,14700,3.3
44.615,-74.34,10000,3.7
41.86,-80.76,2500,2.5
40.606,-75.106,3000,3.8
44.882,-73.73,10000,2.2
44.896,-74.912,8000,2.8
39.866,-75.063,2400,2.2
44.899,-74.893,3600,2.9
41.392,-74,10000,2.7
45.06,-74.2,18000,3.5
42.5164,-73.8544,11500,1.9
43.0032,-76.3528,13400,2.1
38.1115,-80.4664,21000,2.4
38.0233,-80.5346,6500,2.7
38.0989,-81.6861,4500,2.1
38.0573,-81.4704,2100,2.3
42.9914,-75.1891,14500,2.4
44.2954,-73.5922,16100,2
37.6967,-82.0715,3100,2.3
42.9459,-77.6375,7900,2.1
37.7533,-82.06,500,2.3
37.7449,-82.1334,5700,2.1
43.0165,-76.3612,15500,2.2
37.4266,-82.2263,2500,2.1
38.1371,-80.4589,13900,2.5
40.7324,-76.1509,2500,1.7
37.9744,-81.3585,6400,2.5
38.1262,-80.4697,14400,2.5
43.5829,-75.3411,15600,1.9
37.8461,-81.9123,4000,2.1
40.266,-76.041,2000,1.2
37.2,-81.92,1000,4.3
40.292,-76.037,6000,2.5
41.733,-80.179,5000,2.5
39.8416,-79.917,11300,2.3
38.124,-81.6885,6000,2.1
37.3353,-81.9612,2200,2.5
40.0826,-79.2475,3200,2.5
37.9032,-81.3004,3500,2.6
42.6546,-74.3117,12700,3.2
40.7707,-76.3718,11500,1.8
37.9781,-81.415,3100,2.4
37.5844,-82.0801,10400,2.5
43.0113,-76.3594,16800,2.4
39.5131,-78.9936,2300,2.5
39.2497,-78.0853,16800,1.3
37.8645,-81.2542,9400,2.2
37.7901,-82.1076,12400,2.4
37.5763,-82.3755,3700,2.7
37.8638,-81.8778,3900,2.6
43.8432,-75.9451,6000,1.9
39.5962,-78.8887,2700,2.5
38.0732,-81.7009,5300,2.5
38.2792,-81.6194,4900,2.5
44.3674,-74.1484,11500,1.6
39.5182,-77.0394,8600,1.9
42.6368,-74.3189,15100,2.3
37.5701,-82.4448,100,2.6
38.1304,-81.4062,200,2.6
38.2644,-81.5796,300,2.7
38.0481,-81.5315,300,2.3
37.3674,-81.498,1200,2.4
37.9763,-81.3969,1200,2.2
40.1688,-77.3757,4800,1.3
37.8982,-81.2216,11600,2.4
38.0136,-81.6754,3000,2.4
37.9262,-81.3502,5000,2.4
42.637,-78.796,8000,2.6
44.954,-73.84,7000,2.5
38.0799,-81.6791,4500,2.3
37.9324,-81.3084,11600,2.7
41.6275,-74.4942,13000,2.1
37.8513,-81.5968,6000,2.4
37.4176,-81.2977,3000,2.8
41.6029,-74.6254,7300,2.5
43.8631,-75.9632,9700,1.9
43.7471,-74.1067,14800,2.1
44.7805,-75.01,18700,1.6
37.726,-82.0464,2300,3.1
37.6598,-82.0155,15500,2.9
37.7396,-81.7707,6700,3.1
37.7609,-82.0475,2000,2.3
37.2248,-81.7327,6100,2.5
37.753,-82.3437,8400,2.3
37.2645,-81.7362,6300,2.4
37.8491,-81.8419,3700,2.6
38.0785,-81.6692,8000,2.9
38.0923,-81.6586,12100,2.5
38.0047,-81.4256,3500,2.9
37.6105,-82.4557,5900,2.7
39.7428,-79.7493,9900,1.9
37.8631,-81.7757,12900,2.6
38.1286,-80.4896,4200,2.6
